time,V,i,duration,Pratio,runtime,cumsum_Pratio
2025-02-21 10:08:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-21 13:57:00,0.0,0.0,13740.0,0.0,13740.0,0.0
2025-02-21 13:57:00,80000.0,0.002,0.0,0.05,13740.0,0.0
2025-02-21 13:58:00,80000.0,0.002,60.0,0.05,13800.0,3.0
2025-02-21 13:59:00,85000.0,0.002,60.0,0.053125,13860.0,6.09375
2025-02-21 14:00:00,90000.0,0.002,60.0,0.05625,13920.0,9.375
2025-02-21 14:01:00,95000.0,0.002,60.0,0.059375,13980.0,12.84375
2025-02-21 14:02:00,100000.0,0.002,60.0,0.0625,14040.0,16.5
2025-02-21 14:03:00,105000.0,0.002,60.0,0.065625,14100.0,20.34375
2025-02-21 14:04:00,110000.0,0.002,60.0,0.06875,14160.0,24.375
2025-02-21 14:05:00,115000.0,0.002,60.0,0.071875,14220.0,28.59375
2025-02-21 14:06:00,120000.0,0.002,60.0,0.075,14280.0,33.0
2025-02-21 14:07:00,125000.0,0.002,60.0,0.078125,14340.0,37.59375
2025-02-21 14:08:00,130000.0,0.002,60.0,0.08125,14400.0,42.375
2025-02-21 14:09:00,135000.0,0.002,60.0,0.084375,14460.0,47.34375
2025-02-21 14:10:00,140000.0,0.002,60.0,0.0875,14520.0,52.5
2025-02-21 14:11:00,145000.0,0.002,60.0,0.090625,14580.0,57.84375
2025-02-21 14:12:00,150000.0,0.002,60.0,0.09375,14640.0,63.375
2025-02-21 14:13:00,155000.0,0.002,60.0,0.096875,14700.0,69.09375
2025-02-21 14:14:00,160000.0,0.002,60.0,0.1,14760.0,75.0
2025-02-21 14:15:00,165000.0,0.002,60.0,0.103125,14820.0,81.09375
2025-02-21 14:16:00,170000.0,0.002,60.0,0.10625,14880.0,87.375
2025-02-21 14:17:00,175000.0,0.002,60.0,0.109375,14940.0,93.84375
2025-02-21 14:18:00,180000.0,0.002,60.0,0.1125,15000.0,100.5
2025-02-21 14:19:00,185000.0,0.002,60.0,0.115625,15060.0,107.34375
2025-02-21 14:20:00,190000.0,0.002,60.0,0.11875,15120.0,114.375
2025-02-21 14:21:00,195000.0,0.002,60.0,0.121875,15180.0,121.59375
2025-02-21 14:22:00,200000.0,0.002,60.0,0.125,15240.0,129.0
2025-02-21 14:23:00,205000.0,0.002,60.0,0.128125,15300.0,136.59375
2025-02-21 14:24:00,210000.0,0.002,60.0,0.13125,15360.0,144.375
2025-02-21 14:25:00,215000.0,0.002,60.0,0.134375,15420.0,152.34375
2025-02-21 14:26:00,220000.0,0.002,60.0,0.1375,15480.0,160.5
2025-02-21 14:27:00,225000.0,0.002,60.0,0.140625,15540.0,168.84375
2025-02-21 14:28:00,230000.0,0.002,60.0,0.14375,15600.0,177.375
2025-02-21 14:29:00,235000.0,0.002,60.0,0.146875,15660.0,186.09375
2025-02-21 14:30:00,240000.0,0.002,60.0,0.15,15720.0,195.0
2025-02-21 14:31:00,245000.0,0.002,60.0,0.153125,15780.0,204.09375
2025-02-21 14:32:00,250000.0,0.002,60.0,0.15625,15840.0,213.375
2025-02-21 14:33:00,255000.0,0.002,60.0,0.159375,15900.0,222.84375
2025-02-21 14:34:00,260000.0,0.002,60.0,0.1625,15960.0,232.5
2025-02-21 14:35:00,265000.0,0.002,60.0,0.165625,16020.0,242.34375
2025-02-21 14:36:00,270000.0,0.002,60.0,0.16875,16080.0,252.375
2025-02-21 14:37:00,275000.0,0.002,60.0,0.171875,16140.0,262.59375
2025-02-21 14:38:00,280000.0,0.002,60.0,0.175,16200.0,273.0
2025-02-21 14:39:00,285000.0,0.002,60.0,0.178125,16260.0,283.59375
2025-02-21 14:40:00,290000.0,0.002,60.0,0.18125,16320.0,294.375
2025-02-21 14:41:00,295000.0,0.002,60.0,0.184375,16380.0,305.34375
2025-02-21 14:42:00,300000.0,0.002,60.0,0.1875,16440.0,316.5
2025-02-21 14:43:00,305000.0,0.002,60.0,0.190625,16500.0,327.84375
2025-02-21 14:44:00,310000.0,0.002,60.0,0.19375,16560.0,339.375
2025-02-21 14:45:00,315000.0,0.002,60.0,0.196875,16620.0,351.09375
2025-02-21 14:46:00,320000.0,0.002,60.0,0.2,16680.0,363.0
2025-02-21 14:47:00,320000.0,0.003,60.0,0.3,16740.0,378.0
2025-02-21 14:48:00,320000.0,0.004,60.0,0.4,16800.0,399.0
2025-02-21 14:49:00,320000.0,0.005,60.0,0.5,16860.0,426.0
2025-02-21 14:50:00,320000.0,0.006,60.0,0.6,16920.0,459.0
2025-02-21 14:51:00,320000.0,0.007,60.0,0.7,16980.0,498.0
2025-02-21 14:52:00,320000.0,0.008,60.0,0.8,17040.0,543.0
2025-02-21 14:53:00,320000.0,0.009,60.0,0.9000000000000001,17100.0,594.0
2025-02-21 14:54:00,320000.0,0.01,60.0,1.0,17160.0,651.0
2025-02-21 14:54:00,0.0,0.0,0.0,0.0,17160.0,651.0
2025-02-21 15:03:57,0.0,0.0,597.0,0.0,17757.0,651.0
2025-02-21 15:03:57,320000.0,0.01,0.0,1.0,17757.0,651.0
2025-02-21 18:16:57,320000.0,0.01,11580.0,1.0,29337.0,12231.0
2025-02-21 18:16:57,0.0,0.0,0.0,0.0,29337.0,12231.0
2025-02-21 21:52:00,0.0,0.0,12903.0,0.0,42240.0,12231.0
